name,birth_place
"Pete Docter, David Silverman and Lee Unkrich",NaN
Clio Barnard,"Otley, Leeds, West Yorkshire, England, UK"
Christian Marclay,NaN
Patty Jenkins,"George Air Force Base, Victorville, California, USA"
Roberto Benigni,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy"
Eran Riklis,"Beersheba, Israel"
Annemarie Jacir,"Bethlehem, Palestine"
Ramin Bahrani,"North Carolina, USA"
Yann Arthus-Bertrand,"Paris, France"
Andrew Adamson and Vicky Jenson,NaN
Andrew Adamson and Vicky Jenson,NaN
Andrew Adamson and Vicky Jenson,NaN
Ossama Mohammed,"Lattakia, Syria"
Mani Haghighi,"Tehran, Iran"
Lucien Castaing-Taylor and Verena Paravel,NaN
Lucien Castaing-Taylor and Verena Paravel,NaN
Lucien Castaing-Taylor and Verena Paravel,NaN
Ronit Elkabetz and Shlomi Elkabetz,NaN
Ronit Elkabetz and Shlomi Elkabetz,NaN
Gareth Edwards,"Nuneaton, Warwickshire, England, UK"
Céline Sciamma,"Pontoise, Val-d'Oise, France"
Trey Parker,"Conifer, Colorado, USA"
Jane Campion,"Wellington, New Zealand"
Ben Wheatley,"Billericay, Essex, England, UK"
Shane Black,"Pittsburgh, Pennsylvania, USA"
Michael Moore,"Flint, Michigan, USA"
Warwick Thornton,"Alice Springs, Northern Territory, Australia"
Aki Kaurismäki,"Orimattila, Finland"
Jean-Claude Brisseau,"Paris, France"
Patrick Wang,NaN
Pirjo Honkasalo,"Helsinki, Finland"
Kleber Mendonça Filho,"Recife, Pernambuco, Brazil"
Eran Kolirin,"Holon, Israel"
Laurent Cantet,"Melle, Deux-Sevres, France"
Agnieszka Holland,"Warsaw, Mazowieckie, Poland"
Kim Jee-woon,"Seoul, South Korea"
Anthony and Joe Russo,NaN
Richard Curtis,"Wellington, New Zealand"
Rob Marshall,"Madison, Wisconsin, USA"
Christopher Morris,"Bristol, England, UK"
Shane Meadows,"Uttoxeter, Staffordshire, England, UK"
John Carney,"Dublin, Ireland"
Stephen Daldry,"Dorset, England, UK"
Jiang Wen,"Tangshan, China"
